Frage (natürlichsprachlich),SQL-Query,Komplexität,Enthaltene Operatoren,,Antwort,Richtige Lösung,Zeit,Richtige Antwort ?,Bei Fehler : Verwendete Query,Fehleranalyse
"Welche Regionen hatten am 3. März 2021 mehr neue Fälle, mehr Todesfälle und mehr ICU-Patienten als jeweils der Median?","SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-03'
  AND new_total_confirmed_cases > (
    SELECT APPROX_QUANTILES(new_total_confirmed_cases, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-03'
  )
  AND deaths > (
    SELECT APPROX_QUANTILES(deaths, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-03'
  )
  AND hospitalized_patients_intensive_care > (
    SELECT APPROX_QUANTILES(hospitalized_patients_intensive_care, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-03'
  );",Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Es tut mir leid, aber ich konnte die Daten nicht abrufen, um festzustellen, welche Regionen am 3. März 2021 mehr neue Fälle, mehr Todesfälle und mehr ICU-Patienten als jeweils der Median hatten. Bitte versuchen Sie es später erneut oder stellen Sie eine andere Anfrage.","Nach den Daten von diesem Tag hatten folgende Regionen Werte, die über den Median lagen:

Lombardia
Neue Fälle: 4,590
Todesfälle: 28,518
ICU-Patienten: 506
Campania
Neue Fälle: 1,520
Todesfälle: 5,975
ICU-Patienten: 237
Emilia-Romagna
Neue Fälle: 2,456
Todesfälle: 10,650
ICU-Patienten: 251","21,65",Nein,"SELECT region_name, new_total_confirmed_cases, deaths, hospitalized_patients_intensive_care 
FROM `bigquery-public-data.covid19_italy.data_by_region` 
WHERE DATE(date) = '2021-03-03' 
AND new_total_confirmed_cases > (
    SELECT PERCENTILE_CONT(new_total_confirmed_cases, 0.5) OVER() 
    FROM `bigquery-public-data.covid19_italy.data_by_region` 
    WHERE DATE(date) = '2021-03-03'
) 
AND deaths > (
    SELECT PERCENTILE_CONT(deaths, 0.5) OVER() 
    FROM `bigquery-public-data.covid19_italy.data_by_region` 
    WHERE DATE(date) = '2021-03-03'
) 
AND hospitalized_patients_intensive_care > (
    SELECT PERCENTILE_CONT(hospitalized_patients_intensive_care, 0.5) OVER() 
    FROM `bigquery-public-data.covid19_italy.data_by_region` 
    WHERE DATE(date) = '2021-03-03'
).  query davor : egion_name, new_total_confirmed_cases, deaths, hospitalized_patients_intensive_care 
FROM `bigquery-public-data.covid19_italy.data_by_region` 
WHERE DATE(date) = '2021-03-03' 
AND new_total_confirmed_cases > (
    SELECT PERCENTILE_CONT(new_total_confirmed_cases, 0.5) OVER() 
    FROM `bigquery-public-data.covid19_italy.data_by_region` 
    WHERE DATE(date) = '2021-03-03'
) 
AND deaths > (
    SELECT PERCENTILE_CONT(deaths, 0.5) OVER() 
    FROM `bigquery-public-data.covid19_italy.data_by_region` 
    WHERE DATE(date) = '2021-03-03'
) 
AND hospitalized_patients_intensive_care > (
    SELECT PERCENTILE_CONT(hospitalized_patients_intensive_care, 0.5) OVER() 
    FROM `bigquery-public-data.covid19_italy.data_by_region` 
    WHERE DATE(date) = '2021-03-03'
) query davor : SELECT region_name, new_total_confirmed_cases, deaths, hospitalized_patients_intensive_care 
FROM `bigquery-public-data.covid19_italy.data_by_region` 
WHERE DATE(date) = '2021-03-03' 
AND new_total_confirmed_cases > (
    SELECT PERCENTILE_CONT(new_total_confirmed_cases, 0.5) OVER() 
    FROM `bigquery-public-data.covid19_italy.data_by_region` 
    WHERE DATE(date) = '2021-03-03'
) 
AND deaths > (
    SELECT PERCENTILE_CONT(deaths, 0.5) OVER() 
    FROM `bigquery-public-data.covid19_italy.data_by_region` 
    WHERE DATE(date) = '2021-03-03'
) 
AND hospitalized_patients_intensive_care > (
    SELECT PERCENTILE_CONT(hospitalized_patients_intensive_care, 0.5) OVER() 
    FROM `bigquery-public-data.covid19_italy.data_by_region` 
    WHERE DATE(date) = '2021-03-03'
)",
"Welche Regionen hatten am 6. März 2021 über 1000 neue Fälle, über 100 Todesfälle und über 700 ICU-Patienten?å","SELECT region_name, new_total_confirmed_cases, deaths, hospitalized_patients_intensive_care
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-06'
  AND new_total_confirmed_cases > 1000
  AND deaths > 100
  AND  > 700
GROUP BY region_name, new_total_confirmed_cases, deaths, hospitalized_patients_intensive_care;",Hard,LOGICAL CONNECTOR,,"Am 6. März 2021 wurden keine Regionen gefunden, die über 1000 neue Fälle, über 100 Todesfälle und über 700 ICU-Patienten gemeldet haben.",keine regionen vorhanden,"18,43",JA,,
"Wie viele Tests wurden am 1. März 2021 durchschnittlich in den Regionen durchgeführt, die an diesem Tag weniger Todesfälle als der landesweite Durchschnitt verzeichneten?","SELECT AVG(tests_performed) AS avg_tests
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-01'
  AND region_name NOT IN (
    SELECT region_name
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-01'
      AND deaths > (
        SELECT AVG(deaths)
        FROM `bigquery-public-data.covid19_italy.data_by_region`
        WHERE DATE(date) = '2021-03-01'
      )
);",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 1. März 2021 wurde in den Regionen, die an diesem Tag weniger Todesfälle als der landesweite Durchschnitt verzeichneten, durchschnittlich etwa 1.017.740 Tests durchgeführt.

Wenn Sie weitere Informationen wünschen oder andere Fragen haben, lassen Sie es mich bitte wissen!",1.017.739.933.333,"8,91",JA,,
Welche Regionen meldeten am 2. März 2021 mehr neue Fälle als der Median der Regionen mit unterdurchschnittlicher ICU-Belegung?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-02'
  AND new_total_confirmed_cases > (
    SELECT APPROX_QUANTILES(new_total_confirmed_cases, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-02'
      AND hospitalized_patients_intensive_care < (
        SELECT AVG(hospitalized_patients_intensive_care)
        FROM `bigquery-public-data.covid19_italy.data_by_region`
        WHERE DATE(date) = '2021-03-02'
      )
);",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Es scheint, dass es ein technisches Problem mit der Abfrage gibt, um die gewünschten Informationen abzurufen.

Ich kann derzeit die Regionen nicht finden, die am 2. März 2021 mehr neue Fälle gemeldet haben als der Median der Regionen mit unterdurchschnittlicher ICU-Belegung.

Möchten Sie es mit einer anderen Anfrage versuchen oder benötigen Sie Informationen zu einem anderen Datum oder anderen Daten?","Piemonte, Umbria, Marche, Lazio, Abruzzo, Campania, Puglia, Sicilia, P.A. Bolzano, Lombardia, Veneto, Friuli Venezia Giulia, Liguria, Emilia-Romagna und Toscana.","32,84",Nein,,
Welche Regionen hatten am 5. März 2021 mehr aktive Fälle als der höchste Wert einer Region mit weniger als 100 ICU-Patienten?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-05'
  AND total_current_confirmed_cases > (
    SELECT MAX(total_current_confirmed_cases)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-05' AND hospitalized_patients_intensive_care < 100
);",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 5. März 2021 hatten die folgenden Regionen mehr aktive Fälle als der höchste Wert einer Region mit weniger als 100 ICU-Patienten:

Piemonte: 20.501 aktive Fälle
Lazio: 36.562 aktive Fälle
Campania: 85.210 aktive Fälle
Puglia: 34.250 aktive Fälle
Sicilia: 22.678 aktive Fälle
Lombardia: 76.128 aktive Fälle
Veneto: 27.440 aktive Fälle
Emilia-Romagna: 50.314 aktive Fälle
Toscana: 20.152 aktive Fälle
","1	Piemonte
2	Lazio
3	Campania
4	Puglia
5	Sicilia
6	Lombardia
7	Veneto
8	Emilia-Romagna
9	Toscana","7,2",JA,,
"Wie viele Einträge wurden am 3. März 2021 in Regionen aufgezeichnet, deren Todeszahlen unter allen Regionen mit mehr als 800 neuen Fällen lagen?","SELECT COUNT(*) AS entry_count
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-03'
  AND deaths < (
    SELECT MIN(deaths)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-03' AND new_total_confirmed_cases > 800
);
",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 3. März 2021 wurden 19 Einträge in den Regionen aufgezeichnet, deren Todeszahlen unter den Todeszahlen aller Regionen mit mehr als 800 neuen Fällen lagen",12,"13,67",Nein,,
Welche Regionen hatten am 6. März 2021 mehr neue Fälle als der Median der Regionen mit weniger als 100 Todesfällen?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-06'
  AND new_total_confirmed_cases > (
    SELECT APPROX_QUANTILES(new_total_confirmed_cases, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-06' AND deaths < 100
);",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"s gibt ein technisches Problem beim Abrufen der gewünschten Daten über neue Fälle am 6. März 2021, die im Vergleich zu den Regionen mit weniger als 100 Todesfällen lagen.

Leider kann ich diese Informationen im Moment nicht bereitstellen. Möchten Sie eine andere Anfrage stellen, oder kann ich Ihnen auf andere Weise helfen?",keine Region,"23,39",Nein,,
Welche Regionen meldeten am 4. März 2021 mehr neue Fälle als jede Region mit weniger als 50 Genesenen?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-04'
  AND new_total_confirmed_cases > (
    SELECT MAX(new_total_confirmed_cases)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-04' AND recovered < 50
);",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"s gibt derzeit ein technisches Problem beim Abrufen der Informationen über die Regionen, die am 4. März 2021 mehr neue Fälle gemeldet haben als jede Region mit weniger als 50 Genesenen.

Ich kann diese spezifischen Daten im Moment nicht bereitstellen. Wäre es möglich, eine andere Anfrage zu stellen oder gibt es etwas anderes, bei dem ich Ihnen helfen kann?",keine Region,"13,42",Nein,,
"Welche Regionen hatten am 8. März 2021 überdurchschnittlich viele ICU-Patienten, aber weniger neue Fälle als der Median aller Regionen?","SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-08'
  AND hospitalized_patients_intensive_care > (
    SELECT AVG(hospitalized_patients_intensive_care)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-08'
  )
  AND new_total_confirmed_cases < (
    SELECT APPROX_QUANTILES(new_total_confirmed_cases, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-08'
);",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 8. März 2021 hatten die folgenden Regionen überdurchschnittlich viele ICU-Patienten (Intensivpflegepatienten) und weniger neue Fälle als der Median aller Regionen (349 neue Fälle):

Piemonte: 217 ICU-Patienten
Lazio: 253 ICU-Patienten
Campania: 148 ICU-Patienten
Puglia: 169 ICU-Patienten
Lombardia: 597 ICU-Patienten
Veneto: 137 ICU-Patienten
Emilia-Romagna: 286 ICU-Patienten
Toscana: 202 ICU-Patienten
",keine Region,"12,21",Nein,,
Welche Regionen meldeten am 9. März 2021 mehr aktive Fälle als alle Regionen mit unterdurchschnittlicher Anzahl an Tests?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-09'
  AND total_current_confirmed_cases > (
    SELECT MAX(total_current_confirmed_cases)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-09'
      AND tests_performed < (
        SELECT AVG(tests_performed)
        FROM `bigquery-public-data.covid19_italy.data_by_region`
        WHERE DATE(date) = '2021-03-09'
      )
);",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"m 9. März 2021 meldeten die folgenden Regionen mehr aktive Fälle als alle Regionen mit einer unterdurchschnittlichen Anzahl an durchgeführten Tests:

Piemonte
Marche
Lazio
Abruzzo
Campania
Puglia
Sicilia
Lombardia
Veneto
Friuli Venezia Giulia
Emilia-Romagna
Toscana
Sardegna","Lazio,Campania,Lombardia,Emilia-Romagna","13,1",Nein,,
„Welche Regionen überschritten am 7. März 2021 den Median der ICU-Patientenzahl unter den Regionen mit mehr als 1.000 neuen Fällen?“,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-07'
  AND hospitalized_patients_intensive_care > (
    SELECT APPROX_QUANTILES(hospitalized_patients_intensive_care, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-07' AND new_total_confirmed_cases > 1000
);",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Es gab ein technisches Problem beim Versuch, die mediane Anzahl der ICU-Patienten abzurufen, die am 7. März 2021 in Regionen mit mehr als 1.000 neuen Fällen überschritten wurde.

Leider kann ich diese spezifischen Daten im Moment nicht bereitstellen. Möchten Sie eine andere Anfrage stellen oder gibt es etwas anderes, bei dem ich Ihnen helfen kann?","Piemonte
Lazio
Lombardia
Emilia-Romagna","23,34",Nein,,
"Welche Regionen meldeten am 11. März 2021 mehr als 800 neue Fälle, aber gleichzeitig weniger Genesene als jede andere Region mit über 10 Todesfällen?","SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-11'
  AND new_total_confirmed_cases > 800
  AND recovered < ALL (
    SELECT recovered
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-11' AND deaths > 10
);",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 11. März 2021 meldeten die folgenden Regionen mehr als 800 neue Fälle, hatten aber gleichzeitig weniger Genesene als jede andere Region mit über 10 Todesfällen:

Piemonte
Marche
Lazio
Campania
Puglia
Veneto
Friuli Venezia Giulia
Emilia-Romagna
Toscana","Lazio,Campania,Lombardia,Emilia-Romagna","13,01",Nein,,
Welche Regionen hatten am 12. März 2021 mehr aktive Fälle als jede Region mit unterdurchschnittlicher Genesungsrate?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-12'
  AND total_current_confirmed_cases > (
    SELECT MAX(total_current_confirmed_cases)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-12'
      AND recovered < (
        SELECT AVG(recovered)
        FROM `bigquery-public-data.covid19_italy.data_by_region`
        WHERE DATE(date) = '2021-03-12'
      )",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Es gab ein technisches Problem beim Abrufen der Informationen zu den Regionen am 12. März 2021, die mehr aktive Fälle als die Regionen mit einer unterdurchschnittlichen Genesungsrate hatten.

","Lazio
Campania
Lombardia
Emilia-Romagna","32,12",Nein,,
"„Wie hoch war die durchschnittliche Zahl an neuen Fällen in Regionen, die weniger ICU-Patienten als der Durchschnitt aller Regionen mit mehr als 500 Todesfällen am 13. März 2021 meldeten?“","SELECT AVG(new_total_confirmed_cases) AS avg_new_cases
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-13'
  AND hospitalized_patients_intensive_care < (
    SELECT AVG(hospitalized_patients_intensive_care)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-13' AND deaths > 500
  );
",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 13. März 2021 lag die durchschnittliche Zahl an neuen Fällen in den Regionen, die weniger ICU-Patienten als der Durchschnitt aller Regionen mit mehr als 500 Todesfällen meldeten, bei 130 neuen Fällen.",531,"13,41",Nein,,"❌ Was fehlt?
👉 In der Subquery fehlt die Einschränkung auf den 13. März 2021
→ Es wird AVG(hospitalized_patients_intensive_care) über alle Daten gerechnet, nicht nur für den 13. März.

📊 Folge:
Bot vergleicht ICU-Werte am 13. März

mit einem Durchschnitt, der evtl. ganz andere Tage enthält
→ Logisch falscher Vergleich"
"Welche Regionen hatten am 14. März 2021 gleichzeitig mehr neue Fälle, mehr Todesfälle und mehr ICU-Patienten als jeweils der Median?","SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-14'
  AND new_total_confirmed_cases > (
    SELECT APPROX_QUANTILES(new_total_confirmed_cases, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-14'
  )
  AND deaths > (
    SELECT APPROX_QUANTILES(deaths, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-14'
  )
  AND hospitalized_patients_intensive_care > (
    SELECT APPROX_QUANTILES(hospitalized_patients_intensive_care, 2)[OFFSET(1)]
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-03-14'
  );",Extra Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 14. März 2021 hatten die folgenden Regionen gleichzeitig mehr neue Fälle, mehr Todesfälle und mehr ICU-Patienten als jeweils der Median:

Lombardia
Lazio
Emilia-Romagna
Piemonte
Veneto
Wenn Sie weitere Informationen oder Daten zu einem anderen Datum benötigen, lassen Sie es mich bitte wissen!","1	Piemonte
2	Lazio
3	Campania
4	Puglia
5	Sicilia
6	Lombardia
7	Veneto
8	Emilia-Romagna
9	Toscana","11,11",Nein,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,^,,,,,,,,,
